,Date,Z_Score
209,1954-11-03,1.2910299851428133
210,1954-11-04,1.5164043320897176
211,1954-11-05,1.5817819587761055
212,1954-11-08,1.5390452360631799
213,1954-11-09,1.830766708791309
214,1954-11-10,1.7901122813021078
215,1954-11-12,1.4103675486725855
216,1954-11-15,1.2496174406049279
217,1954-11-16,1.0851003403593513
218,1954-11-17,0.7461786542433283
219,1954-11-18,0.8046995104680315
220,1954-11-19,1.151990067030996
221,1954-11-22,1.153474683168267
222,1954-11-23,1.0958009490098535
223,1954-11-24,0.9805684845317945
224,1954-11-26,0.8078350637147707
225,1954-11-29,1.154315830543027
226,1954-11-30,1.2698017648224786
227,1954-12-01,1.443778197568542
228,1954-12-02,1.8478171935323764
229,1954-12-03,1.9052902847830198
230,1954-12-06,1.789511856128788
231,1954-12-07,1.5580193865223873
232,1954-12-08,1.037622642254015
233,1954-12-09,1.0374118319443917
234,1954-12-10,0.9803401362305222
235,1954-12-13,0.23009346642456788
236,1954-12-14,-0.11441772470514837
237,1954-12-15,-0.17097860945439777
238,1954-12-16,-0.5671159247203127
239,1954-12-17,-0.7335985080648362
240,1954-12-20,-1.0647884855226428
241,1954-12-21,-0.7789727539017074
242,1954-12-22,-0.49749162551756204
243,1954-12-23,-0.6574219854275419
244,1954-12-24,-0.8694595024707004
245,1954-12-27,-0.6489654611454992
246,1954-12-28,-0.26943397999796415
247,1954-12-29,-0.053745823606549635
248,1954-12-30,0.16105780194164485
249,1954-12-31,0.42893386983486775
250,1955-01-03,0.1604000264218107
251,1955-01-04,0.533189780121227
252,1955-01-05,0.6383021546680575
253,1955-01-06,0.6903117274970364
254,1955-01-07,1.008183331112022
255,1955-01-10,0.7943567263523228
256,1955-01-11,0.7399110925888085
257,1955-01-12,0.47539426639180804
258,1955-01-13,0.10530537389917609
259,1955-01-14,0.0
260,1955-01-17,-0.15711538296819047
261,1955-01-18,-0.4711137594396402
262,1955-01-20,-0.5780015875974288
263,1955-01-21,-0.4758854720215578
264,1955-01-24,-0.6405708452981609
265,1955-01-25,-0.2697467468196417
266,1955-01-26,0.05434214527902232
267,1955-01-27,0.21884968260407933
268,1955-01-28,0.6055239202776502
269,1955-01-31,0.6073159295580622
270,1955-02-01,0.8837341026021248
271,1955-02-02,0.885710775422659
272,1955-02-03,0.9437384830586545
273,1955-02-04,1.334072184393638
274,1955-02-07,1.2810760519831468
275,1955-02-08,1.5655364874943474
276,1955-02-09,1.3528660448231802
277,1955-02-10,1.2543546241212908
278,1955-02-11,1.505929093117997
279,1955-02-14,1.3521053336959323
280,1955-02-15,1.7896930519832652
281,1955-02-16,1.4514396941119765
282,1955-02-17,1.2266353924397773
283,1955-02-18,1.2426353006883586
284,1955-02-21,1.008923528667773
285,1955-02-23,1.0897910681172198
286,1955-02-24,1.175382165262258
287,1955-02-25,1.189499597805593
288,1955-02-28,1.7349568082212907
289,1955-03-01,1.7517713486472801
290,1955-03-02,2.1727434902742657
291,1955-03-03,2.591345824339285
292,1955-03-04,3.07361042449501
293,1955-03-07,3.005307970617342
294,1955-03-08,3.0720502017794304
295,1955-03-09,2.738964465151561
296,1955-03-10,2.6202524191615435
297,1955-03-11,2.85460294621547
298,1955-03-14,2.877469575134228
299,1955-03-15,2.767938768034005
300,1955-03-16,2.5789843014914196
301,1955-03-17,2.5279557568959254
302,1955-03-18,2.111990970750385
303,1955-03-21,2.12686392891172
304,1955-03-22,2.359915345414849
305,1955-03-23,1.699635389488506
306,1955-03-24,1.3341300148529027
307,1955-03-25,1.6352016987032798
308,1955-03-28,0.8916888787895074
309,1955-03-29,0.44597958493509615
310,1955-03-30,0.14809921517658092
311,1955-03-31,0.2220947795049156
312,1955-04-01,0.2220723423578571
313,1955-04-04,-0.14796933261642417
314,1955-04-05,-0.5179773683558925
315,1955-04-06,-0.8137266186763261
316,1955-04-07,-0.8131337446385033
317,1955-04-08,-0.9603351646989072
318,1955-04-11,-1.4725880629979788
319,1955-04-12,-1.3214284726168544
320,1955-04-13,-1.3134242973163472
321,1955-04-14,-1.372105582932327
322,1955-04-15,-1.492854841648937
323,1955-04-18,-1.7520884268008543
324,1955-04-19,-1.6580832362232611
325,1955-04-20,-1.9831707383419444
326,1955-04-21,-2.237388319563527
327,1955-04-22,-2.013632154839929
328,1955-04-25,-1.994018799962475
329,1955-04-26,-1.2531946548390258
330,1955-04-27,-1.1819679003431125
331,1955-04-28,-1.0459852544603696
332,1955-04-29,-0.7844889408452782
333,1955-05-02,-1.1113593328641442
334,1955-05-03,-0.6526643744697007
335,1955-05-04,-0.26120599241912246
336,1955-05-05,-0.2615902759261171
337,1955-05-06,-0.6549023769953678
338,1955-05-09,-0.5254134718927099
339,1955-05-10,-0.13161987482059476
340,1955-05-11,-0.33000881651532016
341,1955-05-12,-0.7280754660775163
342,1955-05-13,-0.39754493528876067
343,1955-05-16,-0.06621785688162381
344,1955-05-17,0.39672200042400224
345,1955-05-18,0.39608821136510286
346,1955-05-19,0.13198385442197047
347,1955-05-20,0.3947099284834137
348,1955-05-23,0.6524335935502207
349,1955-05-24,0.5182054841730517
350,1955-05-25,0.25733280407427495
351,1955-05-26,0.7664775593512202
352,1955-05-27,0.8863817957778429
353,1955-05-31,1.3146698438457878
354,1955-06-01,1.0539624576884772
355,1955-06-02,1.2860243245527858
356,1955-06-03,1.387192994044003
357,1955-06-06,1.190400387074111
358,1955-06-07,1.6452795277408698
359,1955-06-08,1.3427701037810587
360,1955-06-09,1.2763540205715407
361,1955-06-10,1.2121331340512924
362,1955-06-13,1.2078981616966435
