,Date,10yr
0,2024-06-10,-0.029300000000000104
1,2024-06-07,-0.02349999999999941
2,2024-06-06,-0.20040000000000013
3,2024-06-03,-0.11929999999999996
4,2024-05-30,-0.13379999999999992
5,2024-05-29,-0.0019000000000000128
6,2024-05-24,-0.1767000000000003
7,2024-05-23,-0.12369999999999948
8,2024-05-22,-0.1867000000000001
9,2024-05-17,-0.16749999999999954
10,2024-05-16,-0.29239999999999977
11,2024-05-15,-0.2614000000000001
12,2024-05-10,-0.04720000000000013
13,2024-05-09,0.09149999999999991
14,2024-05-08,0.07389999999999919
15,2024-05-03,0.16049999999999986
16,2024-05-02,0.2320000000000002
17,2024-05-01,0.3191000000000006
18,2024-04-29,0.41329999999999956
19,2024-04-26,0.4314
20,2024-04-25,0.4584999999999999
21,2024-04-22,0.4104000000000001
22,2024-04-19,0.3281999999999998
23,2024-04-18,0.3083999999999998
24,2024-04-15,0.2950999999999997
25,2024-04-12,0.3709000000000007
26,2024-04-11,0.48829999999999973
27,2024-04-08,0.3449
28,2024-04-05,0.24910000000000032
29,2024-04-04,0.09630000000000027
30,2024-04-01,0.12939999999999952
31,2024-03-29,-0.049900000000000055
32,2024-03-28,-0.06359999999999921
33,2024-03-27,-0.11290000000000067
34,2024-03-26,-0.04789999999999939
35,2024-03-22,-0.12260000000000026
36,2024-03-21,-0.05180000000000007
37,2024-03-20,-0.0024999999999995026
38,2024-03-19,0.01330000000000009
39,2024-03-15,0.07629999999999981
40,2024-03-14,0.034900000000000375
41,2024-03-13,-0.12440000000000051
42,2024-03-12,-0.02859999999999996
43,2024-03-08,-0.0790999999999995
44,2024-03-07,-0.03840000000000021
45,2024-03-06,0.002000000000000668
46,2024-03-05,-0.005399999999999849
47,2024-03-01,0.2996000000000003
48,2024-02-29,0.17620000000000058
49,2024-02-26,0.14219999999999988
50,2024-02-23,0.11980000000000057
51,2024-02-22,0.21550000000000047
52,2024-02-19,0.15660000000000007
53,2024-02-16,0.22110000000000074
54,2024-02-15,0.29100000000000037
55,2024-02-12,0.24029999999999951
56,2024-02-09,0.1620999999999997
57,2024-02-08,0.12349999999999994
58,2024-02-05,0.11219999999999963
59,2024-02-02,0.09050000000000002
60,2024-02-01,0.0010999999999996568
61,2024-01-29,0.19489999999999963
62,2024-01-26,0.2405999999999997
63,2024-01-25,0.22340000000000027
64,2024-01-22,0.21019999999999994
65,2024-01-19,0.19130000000000047
66,2024-01-18,0.21060000000000034
67,2024-01-15,0.028000000000000025
68,2024-01-12,-0.2615999999999996
69,2024-01-11,-0.2674999999999996
70,2024-01-08,-0.19510000000000005
71,2024-01-05,-0.1192000000000002
72,2024-01-04,-0.2541000000000002
73,2024-01-01,-0.31649999999999956
74,2023-12-29,-0.3761000000000001
75,2023-12-28,-0.4764000000000004
76,2023-12-27,-0.5921999999999996
77,2023-12-22,-0.5092000000000003
78,2023-12-21,-0.5044999999999997
79,2023-12-20,-0.5724000000000005
80,2023-12-15,-0.6203999999999996
81,2023-12-14,-0.5265000000000004
82,2023-12-13,-0.6234999999999999
83,2023-12-08,-0.2668999999999997
84,2023-12-07,-0.4169999999999998
85,2023-12-06,-0.5390999999999995
86,2023-12-01,-0.5385
87,2023-11-30,-0.5678000000000001
88,2023-11-27,-0.4480000000000004
89,2023-11-24,-0.35639999999999983
90,2023-11-23,-0.44599999999999973
91,2023-11-20,-0.4939
92,2023-11-17,-0.3987000000000007
93,2023-11-16,-0.2705000000000002
94,2023-11-13,0.027499999999999858
95,2023-11-10,-0.0011999999999998678
96,2023-11-09,-0.17680000000000007
97,2023-11-06,-0.15780000000000083
98,2023-11-03,-0.22309999999999963
99,2023-11-02,-0.01949999999999985
100,2023-10-27,0.22710000000000008
101,2023-10-26,0.3089000000000004
102,2023-10-25,0.4215
103,2023-10-20,0.5067000000000004
104,2023-10-19,0.6311999999999998
105,2023-10-18,0.6123000000000003
106,2023-10-13,0.3639000000000001
107,2023-10-12,0.4168000000000003
108,2023-10-11,0.2702
109,2023-10-06,0.5212000000000003
110,2023-10-05,0.45869999999999944
111,2023-10-04,0.5541
112,2023-09-29,0.45140000000000047
113,2023-09-28,0.3727999999999998
114,2023-09-25,0.29800000000000004
115,2023-09-22,0.10960000000000036
116,2023-09-21,0.15629999999999988
117,2023-09-18,0.04800000000000004
118,2023-09-15,0.12139999999999951
119,2023-09-14,0.09499999999999975
120,2023-09-11,0.1358000000000006
121,2023-09-08,0.24209999999999976
122,2023-09-07,0.15560000000000063
123,2023-09-04,0.14499999999999957
124,2023-09-01,0.15580000000000016
125,2023-08-31,0.1493000000000002
126,2023-08-28,0.2513000000000001
127,2023-08-25,0.3509000000000002
128,2023-08-24,0.3646999999999996
129,2023-08-21,0.5030000000000001
130,2023-08-18,0.46930000000000005
131,2023-08-17,0.4672999999999998
132,2023-08-14,0.3591000000000002
133,2023-08-11,0.18219999999999947
134,2023-08-10,0.11170000000000035
135,2023-08-07,0.02689999999999948
136,2023-08-04,0.17930000000000046
137,2023-08-03,0.3205999999999998
138,2023-07-28,0.24289999999999967
139,2023-07-27,0.23430000000000017
140,2023-07-26,0.14559999999999995
141,2023-07-21,0.1160000000000001
142,2023-07-20,0.12959999999999994
143,2023-07-19,-0.0129999999999999
144,2023-07-14,0.04599999999999982
145,2023-07-13,-0.049900000000000055
146,2023-07-12,0.12170000000000014
147,2023-07-07,0.2664000000000004
148,2023-07-06,0.36889999999999956
149,2023-07-05,0.24840000000000018
150,2023-06-30,0.15010000000000012
151,2023-06-29,0.040000000000000036
152,2023-06-26,-0.07709999999999972
