,Date,3m
0,2024-06-10,-0.019099999999999895
1,2024-06-07,-0.006599999999999717
2,2024-06-06,-0.0020999999999995467
3,2024-06-03,0.014899999999999913
4,2024-05-30,0.01670000000000016
5,2024-05-29,0.011800000000000033
6,2024-05-24,-0.011800000000000033
7,2024-05-23,0.05069999999999997
8,2024-05-22,0.011800000000000033
9,2024-05-17,-0.011100000000000776
10,2024-05-16,0.034900000000000375
11,2024-05-15,0.019600000000000506
12,2024-05-10,-0.0005000000000006111
13,2024-05-09,0.04279999999999973
14,2024-05-08,0.016199999999999548
15,2024-05-03,0.024700000000000166
16,2024-05-02,0.039400000000000546
17,2024-05-01,0.04049999999999976
18,2024-04-29,0.03310000000000013
19,2024-04-26,0.037799999999999834
20,2024-04-25,0.05269999999999975
21,2024-04-22,0.03310000000000013
22,2024-04-19,0.0039000000000006807
23,2024-04-18,0.010999999999999233
24,2024-04-15,0.0018000000000002458
25,2024-04-12,-0.00140000000000029
26,2024-04-11,0.0005000000000006111
27,2024-04-08,-0.010399999999999743
28,2024-04-05,0.004699999999999704
29,2024-04-04,-0.01949999999999985
30,2024-04-01,-0.006000000000000227
31,2024-03-29,-0.018000000000000682
32,2024-03-28,-0.029200000000000337
33,2024-03-27,-0.01130000000000031
34,2024-03-26,-0.05000000000000071
35,2024-03-22,-0.03620000000000001
36,2024-03-21,-0.011199999999999655
37,2024-03-20,0.01780000000000026
38,2024-03-19,-0.0005000000000006111
39,2024-03-15,0.008099999999999774
40,2024-03-14,0.012199999999999989
41,2024-03-13,0.007000000000000561
42,2024-03-12,-0.005600000000000271
43,2024-03-08,-0.0023999999999997357
44,2024-03-07,0.0018000000000002458
45,2024-03-06,0.0226999999999995
46,2024-03-05,-0.0004999999999997229
47,2024-03-01,0.010699999999999932
48,2024-02-29,0.021400000000000752
49,2024-02-26,0.05400000000000027
50,2024-02-23,0.0508999999999995
51,2024-02-22,0.047399999999999665
52,2024-02-19,0.03310000000000013
53,2024-02-16,0.013799999999999812
54,2024-02-15,0.013499999999999623
55,2024-02-12,0.031200000000000117
56,2024-02-09,0.014299999999999535
57,2024-02-08,0.008399999999999963
58,2024-02-05,-0.008600000000000385
59,2024-02-02,-0.001000000000000334
60,2024-02-01,0.029200000000000337
61,2024-01-29,0.026099999999999568
62,2024-01-26,-0.011499999999999844
63,2024-01-25,-0.002100000000000435
64,2024-01-22,-0.0026000000000001577
65,2024-01-19,-0.02740000000000009
66,2024-01-18,-0.028100000000000236
67,2024-01-15,-0.024199999999999555
68,2024-01-12,-0.028200000000000003
69,2024-01-11,-0.012500000000000178
70,2024-01-08,0.0017999999999993577
71,2024-01-05,0.011700000000000266
72,2024-01-04,0.008399999999999963
73,2024-01-01,-0.019000000000000128
74,2023-12-29,-0.06390000000000029
75,2023-12-28,-0.03810000000000002
76,2023-12-27,0.0004999999999997229
77,2023-12-22,-0.05609999999999982
78,2023-12-21,-0.018200000000000216
79,2023-12-20,-0.0038000000000000256
80,2023-12-15,-0.029300000000000104
81,2023-12-14,-0.0041999999999999815
82,2023-12-13,-0.05080000000000062
83,2023-12-08,-0.05009999999999959
84,2023-12-07,-0.02770000000000028
85,2023-12-06,-0.024700000000000166
86,2023-12-01,-0.09980000000000011
87,2023-11-30,-0.06529999999999969
88,2023-11-27,-0.06059999999999999
89,2023-11-24,-0.030100000000000016
90,2023-11-23,-0.04290000000000038
91,2023-11-20,-0.06339999999999968
92,2023-11-17,-0.10060000000000002
93,2023-11-16,-0.08549999999999969
94,2023-11-13,-0.0686
95,2023-11-10,-0.0660999999999996
96,2023-11-09,-0.08289999999999953
97,2023-11-06,-0.08869999999999933
98,2023-11-03,-0.0849000000000002
99,2023-11-02,-0.028699999999999726
100,2023-10-27,-0.02149999999999963
101,2023-10-26,0.0062000000000006494
102,2023-10-25,-0.008300000000000196
103,2023-10-20,-0.011099999999999888
104,2023-10-19,0.03230000000000022
105,2023-10-18,0.0354000000000001
106,2023-10-13,0.03589999999999982
107,2023-10-12,0.06630000000000003
108,2023-10-11,0.04579999999999984
109,2023-10-06,0.05329999999999924
110,2023-10-05,0.07889999999999997
111,2023-10-04,0.08680000000000021
112,2023-09-29,0.011499999999999844
113,2023-09-28,-0.02289999999999992
114,2023-09-25,0.011400000000000077
115,2023-09-22,0.04999999999999982
116,2023-09-21,0.024099999999999788
117,2023-09-18,0.02519999999999989
118,2023-09-15,0.04550000000000054
119,2023-09-14,0.04499999999999993
120,2023-09-11,0.027899999999999814
121,2023-09-08,0.008999999999999453
122,2023-09-07,0.038899999999999935
123,2023-09-04,0.012199999999999989
124,2023-09-01,0.028999999999999915
125,2023-08-31,0.03529999999999944
126,2023-08-28,0.07560000000000056
127,2023-08-25,0.051600000000000534
128,2023-08-24,0.053600000000000314
129,2023-08-21,0.03310000000000013
130,2023-08-18,0.04559999999999942
131,2023-08-17,0.016200000000000436
132,2023-08-14,0.061799999999999855
133,2023-08-11,0.048200000000000465
134,2023-08-10,0.08830000000000027
135,2023-08-07,0.06679999999999975
136,2023-08-04,0.07669999999999977
137,2023-08-03,0.12210000000000054
138,2023-07-28,0.08819999999999961
139,2023-07-27,0.13929999999999954
140,2023-07-26,0.08990000000000009
141,2023-07-21,0.12469999999999981
142,2023-07-20,0.18900000000000006
143,2023-07-19,0.1864000000000008
144,2023-07-14,0.1377000000000006
145,2023-07-13,0.1888999999999994
146,2023-07-12,0.16159999999999997
147,2023-07-07,0.06450000000000067
148,2023-07-06,0.11819999999999986
149,2023-07-05,0.057000000000000384
150,2023-06-30,0.03160000000000007
