,Date,normalized_vol
0,2024-06-10,-8.93095850165262
1,2024-06-07,-56.21037463976593
2,2024-06-06,46.3578595317726
3,2024-06-03,14.196272401433692
4,2024-05-30,9.944837467538283
5,2024-05-29,0.10169600825433676
6,2024-05-24,7.344801682692323
7,2024-05-23,4.717252469561202
8,2024-05-22,6.201416680006408
9,2024-05-17,4.954561653599417
10,2024-05-16,7.990649282233626
11,2024-05-15,7.195370278247604
12,2024-05-10,1.436913145539909
13,2024-05-09,-2.8333457692881625
14,2024-05-08,-2.0801370095295977
15,2024-05-03,-4.1886240724437105
16,2024-05-02,-5.40291806958474
17,2024-04-29,-8.196826778890328
18,2024-04-26,-8.187094982410663
19,2024-04-25,-8.461503837238087
20,2024-04-22,-7.511282726603134
21,2024-04-19,-6.138777372262771
22,2024-04-18,-6.196716491056112
23,2024-04-15,-6.4065552937438754
24,2024-04-12,-8.201547879082081
25,2024-04-11,-10.932885539536922
26,2024-04-08,-7.288184512305122
27,2024-04-05,-5.514335079099415
28,2024-04-04,-2.25965775768329
29,2024-03-29,1.2765776009096101
30,2024-03-28,1.9331306990881274
31,2024-03-27,4.103612295265908
32,2024-03-26,1.8113064851578524
33,2024-03-22,5.5421822907837734
34,2024-03-21,2.6952845528455383
35,2024-03-20,0.15044380923722023
36,2024-03-19,-0.7918456552867607
37,2024-03-15,-4.664680390032506
38,2024-03-14,-2.2108090770588023
39,2024-03-13,8.27935973041286
40,2024-03-12,2.099378881987576
41,2024-03-08,6.869071476285888
42,2024-03-07,5.19098786828428
43,2024-03-06,-0.4073107049609624
44,2024-03-05,1.0799999999999705
45,2024-05-01,8.966072319529438
46,2024-04-01,-17.233777274015406
47,2024-03-01,-98.33418584825374
48,2024-02-29,-59.98952422523025
49,2024-02-26,-72.02337662337833
50,2024-02-23,22.566046733428553
51,2024-02-22,56.10480640854374
52,2024-02-19,20.805314256514933
53,2024-02-16,12.776607417160392
54,2024-02-15,19.80628272251306
55,2024-02-12,15.438102297998402
56,2024-02-09,10.101680208251105
57,2024-02-08,8.71291606367578
58,2024-02-05,8.673538156590606
59,2024-01-29,11.498965596505952
60,2024-01-26,11.822351014237048
61,2024-01-25,11.675958188153267
62,2024-01-22,12.754452324665024
63,2024-01-19,11.439282428702818
64,2024-01-18,14.932097082083354
65,2024-01-15,2.4238336143900923
66,2024-01-12,-23.79291044776098
67,2024-01-11,-16.81440889676835
68,2024-01-08,-9.959360912224838
69,2024-01-05,-3.9753719856336556
70,2023-12-29,-8.450205713285271
71,2023-12-28,-9.544858451290589
72,2023-12-27,-10.419298083155827
73,2023-12-22,-8.038626345463863
74,2023-12-21,-7.10628372816244
75,2023-12-20,-7.2856138000335005
76,2023-12-15,-6.964181062759673
77,2023-12-14,-5.268763402430313
78,2023-12-13,-5.764018975793701
79,2023-12-08,-2.2007303178274635
80,2023-12-07,-3.2710880195599024
81,2023-12-06,-4.003869832893576
82,2024-02-02,1.8753269223031406
83,2024-01-04,-5.170004973549758
84,2024-02-01,0.022013250694584832
85,2024-01-01,-5.761179540076437
86,2023-12-01,-3.6743021710234833
87,2023-11-30,-3.6893775737527865
88,2023-11-27,-2.7417822228664415
89,2023-11-24,-2.012850415878184
90,2023-11-23,-2.4113186350231697
91,2023-11-20,-2.5555827886710243
92,2023-11-17,-2.0021064576295546
93,2023-11-16,-1.3269772301576193
94,2023-11-13,0.1308974302767626
95,2023-11-10,-0.005786138316257836
96,2023-11-09,-0.8510521248796592
97,2023-11-06,-0.7415321832684141
98,2023-11-03,-1.0413226647269183
99,2023-10-27,1.058760489701021
100,2023-10-26,1.461049411533455
101,2023-10-25,2.005798117803227
102,2023-10-20,2.496937697993667
103,2023-10-19,3.204715842778865
104,2023-10-18,3.20163470866272
105,2023-10-13,2.013270775553609
106,2023-10-12,2.390477892980577
107,2023-10-11,1.5785622040464917
108,2023-10-06,3.377124777003604
109,2023-10-05,3.297935516401016
110,2023-10-04,4.108047995317532
111,2023-09-29,3.746630845510349
112,2023-09-28,3.2118733630473737
113,2023-09-25,2.980862881360396
114,2023-09-22,1.3432655270111142
115,2023-09-21,2.1145743652815585
116,2023-09-18,0.7700534759358297
117,2023-09-15,2.314333976833969
118,2023-09-14,2.0435670524166056
119,2023-09-11,3.200188523624384
120,2023-09-08,5.649697493517718
121,2023-09-07,3.4909151340571856
122,2023-09-04,2.9265531160775744
123,2023-11-02,-0.17461712277177832
124,2023-09-01,2.58225168736771
125,2023-08-31,2.2830007922032505
126,2023-08-28,3.9038002500663085
127,2023-08-25,5.291344085032831
128,2023-08-24,5.807096520542555
129,2023-08-21,7.392021219398548
130,2023-08-18,7.109423783923592
131,2023-08-17,7.656626749737033
132,2023-08-14,5.772859159347558
133,2023-08-11,3.0244949188226147
134,2023-08-10,1.901736169497231
135,2023-08-07,0.45155479129561543
136,2023-08-04,2.9762950667017627
137,2023-08-03,5.45490064277612
138,2023-07-28,5.920214952722139
139,2023-07-27,6.07513043478261
140,2023-07-26,4.60866208600324
141,2023-07-21,4.924556288680886
142,2023-07-20,5.778478603664828
143,2023-07-19,-0.7079763565119159
144,2023-07-14,2.8346573613482673
145,2023-07-13,-3.1453609039895447
146,2023-07-12,7.375212475057275
147,2023-07-07,21.808067856790633
148,2023-07-06,40.46795986622073
149,2023-07-05,50.26850937808496
150,2023-06-30,18.058124365850144
151,2023-06-29,4.102817597627289
152,2023-06-26,-6.220728076073364
153,2023-06-23,3.1768914326596422
154,2023-06-22,5.861934684485366
155,2023-06-19,9.22242851838098
156,2023-06-16,26.24332591768634
