,Date,Z_Score
209,1962-10-31,-0.7137572549694573
210,1962-11-01,-0.917124390217574
211,1962-11-02,-0.712936856132663
212,1962-11-05,-0.815052404027954
213,1962-11-07,-1.0217413146422327
214,1962-11-08,-1.1242214638752819
215,1962-11-09,-1.021689674313238
216,1962-11-13,-0.9195207068819164
217,1962-11-14,-0.7157853783666883
218,1962-11-15,-0.6138735688468787
219,1962-11-16,-1.1268553185494108
220,1962-11-19,-1.233913449613145
221,1962-11-20,-0.9283632662985678
222,1962-11-21,-0.930320357032784
223,1962-11-23,-1.1390607129371115
224,1962-11-26,-1.1406468642034662
225,1962-11-27,-1.1446695935073707
226,1962-11-28,-1.2541440843841312
227,1962-11-29,-1.1576153047950655
228,1962-11-30,-1.2744299040582547
229,1962-12-03,-1.3936458699364445
230,1962-12-04,-1.2932236647804547
231,1962-12-05,-0.9733938975063412
232,1962-12-06,-0.7621744358252915
233,1962-12-07,-0.5487926734942867
234,1962-12-10,-0.44475163778655746
235,1962-12-11,-0.33898486092907715
236,1962-12-12,-0.3431789835837652
237,1962-12-13,-0.23114800959428994
238,1962-12-14,-0.11635810615569162
239,1962-12-17,0.1168386733097547
240,1962-12-18,0.46879733791961375
241,1962-12-19,0.4722701165506134
242,1962-12-20,0.7133805690868974
243,1962-12-21,1.0964819150893164
244,1962-12-24,1.4988538086929901
245,1962-12-26,1.5154517071748743
246,1962-12-27,1.282843641138225
247,1962-12-28,1.0373061542077155
248,1962-12-31,0.9197121628659879
249,1963-01-02,1.1851429456959808
250,1963-01-03,1.3168254952177598
251,1963-01-04,0.9255955008523452
252,1963-01-07,1.3355529010983151
253,1963-01-08,1.7569296334633806
254,1963-01-09,1.778465902781784
255,1963-01-10,1.9287085108808746
256,1963-01-11,2.0617617511460895
257,1963-01-14,1.9172236512887917
258,1963-01-15,1.9049074373498414
259,1963-01-16,1.7555071107728126
260,1963-01-17,1.347466303731965
261,1963-01-18,0.9441038595818836
262,1963-01-21,0.9447919311688238
263,1963-01-22,0.8098216552875607
264,1963-01-23,0.8092764279677046
265,1963-01-24,0.8097806792279237
266,1963-01-25,0.9444366354802278
267,1963-01-28,0.8099455369529961
268,1963-01-29,0.8123369468584707
269,1963-01-30,0.8141174297956467
270,1963-01-31,0.6798779040476992
271,1963-02-01,0.5434168519861662
272,1963-02-04,0.40678684962546763
273,1963-02-05,0.27016549309255256
274,1963-02-06,0.26929006737981465
275,1963-02-07,0.402636671209715
276,1963-02-08,0.673429816323421
277,1963-02-11,0.5397451681401139
278,1963-02-13,0.5401658171267522
279,1963-02-14,0.5381501763863331
280,1963-02-15,0.5355141053963818
281,1963-02-18,0.6678683353707648
282,1963-02-19,0.3994427831693618
283,1963-02-20,0.13245972708025652
284,1963-02-21,0.0
285,1963-02-25,0.2615561150272416
286,1963-02-26,0.3883933142048368
287,1963-02-27,0.6417026082915519
288,1963-02-28,0.7634820464343356
289,1963-03-01,1.0111694099054103
290,1963-03-04,1.007054526513897
291,1963-03-05,1.130799160529453
292,1963-03-06,0.8779557202917129
293,1963-03-07,0.6266158147185908
294,1963-03-08,0.6259593690316771
295,1963-03-11,0.6254697154406287
296,1963-03-12,0.5003757723525052
297,1963-03-13,0.3754778270246427
298,1963-03-14,0.3759042619327034
299,1963-03-15,0.3761017874414393
300,1963-03-18,0.3783706753694358
301,1963-03-19,0.2536130787647891
302,1963-03-20,0.25438128868479565
303,1963-03-21,0.127960728516383
304,1963-03-22,-0.12889760863671398
305,1963-03-25,-0.3873749876282482
306,1963-03-26,-0.516752881757885
307,1963-03-27,-0.38813656831329635
308,1963-03-28,-0.3900025443451995
309,1963-03-29,-0.3938422767690877
310,1963-04-01,-0.5296815870971118
311,1963-04-02,-0.6659708818001437
312,1963-04-03,-0.803630663985364
313,1963-04-04,-0.4038369506479882
314,1963-04-05,-0.271240225944497
315,1963-04-08,-0.6860872380660108
316,1963-04-09,-0.8305239342152994
317,1963-04-10,-0.976735627831706
318,1963-04-11,-0.7040204015500022
319,1963-04-15,-0.8512761018989949
320,1963-04-16,-0.5719316119669177
321,1963-04-17,-0.5779374511198018
322,1963-04-18,-0.4373876433040978
323,1963-04-19,0.1469000542537549
324,1963-04-22,0.14852904636754294
325,1963-04-23,0.14995518768720445
326,1963-04-24,0.4524783555614319
327,1963-04-25,0.6056835907432463
328,1963-04-26,0.6105235288835942
329,1963-04-29,0.4616327445628401
330,1963-04-30,0.6174025403987349
331,1963-05-01,0.772535011006473
332,1963-05-02,0.7728760925947054
333,1963-05-03,1.0820265296325888
334,1963-05-06,1.2366017481515272
335,1963-05-07,1.3908639635350617
336,1963-05-08,1.2356056816162198
337,1963-05-09,1.081540601433742
338,1963-05-10,1.0831391693083487
339,1963-05-13,1.2461910387460964
340,1963-05-14,1.4059731432840585
341,1963-05-15,1.4052532722862792
342,1963-05-16,1.560382785312219
343,1963-05-17,1.4055899256962694
344,1963-05-20,1.5645595260172127
345,1963-05-21,1.7235103832229512
346,1963-05-22,1.8801931453341254
347,1963-05-23,1.8801931453341254
348,1963-05-24,1.4101448590005958
349,1963-05-27,1.2519900899518803
350,1963-05-28,1.2519900899518732
351,1963-05-29,1.095074784075648
352,1963-05-31,0.938339436014933
353,1963-06-03,0.6255005129968987
354,1963-06-04,0.7819990976696691
355,1963-06-05,0.6259474657193013
356,1963-06-06,0.46939192963882304
357,1963-06-07,0.4687131005357075
358,1963-06-10,0.46810493107403056
359,1963-06-11,0.4678928423300499
360,1963-06-12,0.31162650877469694
361,1963-06-13,0.0
362,1963-06-14,0.0
